experiment_name,mean_fit_time,mean_score_time,mean_test_score,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,rank_test_score,run_number,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
random search for 1 group,0.4962149143218994,0.0050086498260498045,0.6474485754399055,,,,6,4,,"{'max_depth': 6, 'min_child_weight': 4}",101,10,0.7346023790738694,0.6248150799140801,0.6127151554419047,0.6092402704216315,0.6558699923480416,0.01293853747546511,9.875220414048797e-05,0.04657309503877257
random search for 1 group,0.39195556640625,0.0049723625183105465,0.6543050686014386,,,,5,8,,"{'max_depth': 5, 'min_child_weight': 8}",20,10,0.7170969625380923,0.6495076609526427,0.5797372408377612,0.6524206909713823,0.6727627877073142,0.009600478657931115,0.00010592179471975371,0.044430701717029425
random search for 1 group,0.5755507946014404,0.005113840103149414,0.642000610172335,,,,7,6,,"{'max_depth': 7, 'min_child_weight': 6}",145,10,0.700784311104035,0.6344014319065386,0.6020944565185362,0.6255508126437883,0.6471720386887767,0.019650076272532176,0.00012094878407447449,0.03287282043456068
random search for 1 group,0.45581960678100586,0.004990577697753906,0.6545296415698946,,,,6,8,,"{'max_depth': 6, 'min_child_weight': 8}",13,10,0.7120335418158243,0.6529427809102062,0.5959527593975102,0.6645174000248306,0.6472017257011016,0.015902909241916556,0.0001461994702364156,0.03713198477113434
random search for 1 group,0.38991584777832033,0.004883909225463867,0.6543050686014386,,,,5,8,,"{'max_depth': 5, 'min_child_weight': 8}",20,10,0.7170969625380923,0.6495076609526427,0.5797372408377612,0.6524206909713823,0.6727627877073142,0.012178032302963326,2.4567805434848798e-05,0.044430701717029425
random search for 1 group,0.45691380500793455,0.005224418640136719,0.6545296415698946,,,,6,8,,"{'max_depth': 6, 'min_child_weight': 8}",13,10,0.7120335418158243,0.6529427809102062,0.5959527593975102,0.6645174000248306,0.6472017257011016,0.01366415387241444,0.0005733515331075255,0.03713198477113434
random search for 1 group,0.4128251552581787,0.004878616333007813,0.6435097422869823,,,,5,1,,"{'max_depth': 5, 'min_child_weight': 1}",129,10,0.7074908753024457,0.6372849460935126,0.5928162718493919,0.6302800337628564,0.6496765844267052,0.009120976037864586,5.805805225286381e-05,0.03718929024385677
random search for 1 group,0.3904076099395752,0.004875946044921875,0.6543050686014386,,,,5,8,,"{'max_depth': 5, 'min_child_weight': 8}",20,10,0.7170969625380923,0.6495076609526427,0.5797372408377612,0.6524206909713823,0.6727627877073142,0.010538497168018962,3.656921337773602e-05,0.044430701717029425
random search for 1 group,0.3148333072662354,0.004671335220336914,0.6445201645166188,,,,3,2,,"{'max_depth': 3, 'min_child_weight': 2}",116,10,0.707219510655684,0.6270967807884528,0.5517166510962614,0.6693436014722424,0.6672242785704534,0.010435652788817458,9.964835644331619e-05,0.052875238490671654
random search for 1 group,0.3135860443115234,0.00471792221069336,0.6474590208487027,,,,3,3,,"{'max_depth': 3, 'min_child_weight': 3}",93,10,0.704132685508851,0.6332856156001344,0.5490708601436938,0.6811237481839766,0.6696821948068575,0.007498984568197657,0.00013918268132278726,0.0542590143231491
