experiment_name,mean_fit_time,mean_score_time,mean_test_score,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
grid search,6.162170457839966,0.03260250091552734,0.6462663192385778,0.25,0.625,0.25,5,8,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.625}",118,0.7148826751506632,0.6567499438132567,0.5661199692988035,0.6488159104781008,0.6447630974520647,0.03593686326164219,0.0011274115501843352,0.0474348146044098
grid search,5.680540561676025,0.03331179618835449,0.6444553270882426,0.25,0.625,0.25,5,8,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.75}",190,0.7102056003294364,0.6514630564990054,0.5620927670827714,0.6577066358509572,0.6408085756790424,0.02775255712254066,0.0010055834132105582,0.04763337899667889
grid search,5.274100589752197,0.03468308448791504,0.6489719405683725,0.25,0.625,0.25,5,8,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.875}",46,0.6943700665775547,0.6580140933742991,0.5751515808761349,0.660882755603658,0.6564412064102156,0.020156930003034125,0.001431595690249819,0.03947113711213183
grid search,9.974864673614501,0.056825113296508786,0.6243003860814053,0.25,0.625,0.25,8,2,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.625}",469,0.6651111708360958,0.6260502431554538,0.5929792490658786,0.6033747227633619,0.633986544586236,0.039062656886618786,0.0017836690936570549,0.025224198016585132
grid search,9.377549362182616,0.056406593322753905,0.6255156778926412,0.25,0.625,0.25,8,2,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.75}",460,0.6728031755246657,0.6331783504337418,0.6031666617618217,0.5912690695299347,0.627161132213042,0.07449555562261807,0.0018489773454863619,0.028177438524662306
grid search,8.731731605529784,0.05899271965026855,0.6286411046119158,0.25,0.625,0.25,8,2,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.875}",442,0.704404131142797,0.6102566145440274,0.6100096787459005,0.585812264861757,0.6327228337650974,0.024288323637444154,0.0026794790133057088,0.040684458264061564
grid search,9.626698207855224,0.051142549514770506,0.6328396286024692,0.25,0.625,0.25,8,5,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.625}",397,0.6861092595347108,0.6249052796940553,0.5833797281029779,0.6386037285077264,0.6312001471728759,0.059456151798997846,0.001567064346045395,0.03281097979869857
grid search,9.001165914535523,0.05324034690856934,0.6356575086444923,0.25,0.625,0.25,8,5,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.75}",352,0.690443397178333,0.6327563987153317,0.5928852987669228,0.623998637649683,0.6382038109121908,0.061336774302603925,0.0027711457782716186,0.031565122800922045
grid search,8.366794443130493,0.055902290344238284,0.6379213720588126,0.25,0.625,0.25,8,5,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.875}",316,0.7063492101667086,0.637347057559317,0.5898429790021498,0.6165839028941604,0.6394837106717268,0.04327532673007169,0.0014103271601230726,0.038605593471593216
grid search,9.424939632415771,0.04986867904663086,0.6377815762498568,0.25,0.625,0.25,8,8,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.625}",334,0.6888795863017565,0.657160732526878,0.5739894645109187,0.6357174320178348,0.6331606658918956,0.04938037590428136,0.0006399975147035223,0.03763404138099792
