mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name,run_number,param_alpha,param_lambda,param_colsample_bytree,param_subsample
1.1011679649353028,0.029254376671717118,0.001889944076538086,4.157571593435931e-05,10.0,8.0,"{'max_depth': 10, 'min_child_weight': 8}",0.7648908078427121,0.8648693052498493,0.7846957621808507,0.4790661783506759,0.2566166046549233,0.6300277316558023,0.22780960208805284,104,random search for 1 group,7,,,,
1.001664972305298,0.0034600888075898124,0.001923179626464844,0.00011855619822385837,11.0,18.0,"{'max_depth': 11, 'min_child_weight': 18}",0.6988603042582844,0.8263199219971974,0.7833037067573252,0.4952247949964895,0.058705255590683736,0.5724827967199959,0.2809933014464021,204,random search for 1 group,7,,,,
1.230908250808716,0.011487948496272162,0.002105236053466797,0.00011653104089997324,16.0,10.0,"{'max_depth': 16, 'min_child_weight': 10}",0.7478648717561553,0.8519443870175545,0.7792366134705359,0.5276223374926428,0.2525822763986404,0.6318500972271057,0.2183260017922744,93,random search for 1 group,7,,,,
1.0537437915802002,0.013818287135607406,0.0018978595733642573,0.00023141086604400063,8.0,6.0,"{'max_depth': 8, 'min_child_weight': 6}",0.7347695505610348,0.8731864085460785,0.7929869541965987,0.5054946906983856,0.3217167035856139,0.6456308615175423,0.20297762388898616,63,random search for 1 group,7,,,,
1.0102457046508788,0.006225744606548581,0.0017795562744140625,1.5345713266464856e-05,13.0,19.0,"{'max_depth': 13, 'min_child_weight': 19}",0.7059296428710748,0.8210635807428222,0.7732156876340801,0.5105164861912226,-0.12855979363609116,0.5364331207606217,0.34891167990700445,239,random search for 1 group,7,,,,
0.9898382663726808,0.0024884907852655647,0.0017930984497070313,2.0408073310736268e-05,11.0,19.0,"{'max_depth': 11, 'min_child_weight': 19}",0.7013796723585404,0.8153369280646762,0.7845402684335125,0.5041556117718844,-0.091679077444367,0.5427466806368494,0.3352370269728531,228,random search for 1 group,7,,,,
1.3049419403076172,0.03110883463619661,0.001960277557373047,0.0001769640281759729,9.0,3.0,"{'max_depth': 9, 'min_child_weight': 3}",0.7471808601774869,0.8808991809554341,0.8172316718660648,0.524055736690823,0.3701318715321744,0.6678998642443965,0.1914738021341725,16,random search for 1 group,7,,,,
1.4456058502197269,0.026822693451178773,0.0018850326538085934,3.528066544014458e-05,19.0,16.0,"{'max_depth': 19, 'min_child_weight': 16}",0.7123184468486397,0.8017854494130475,0.7996633560070561,0.4829945028120674,0.05267685803372313,0.5698877226229067,0.28351981189651426,206,random search for 1 group,7,,,,
1.2028446197509766,0.009161343733948812,0.002004861831665039,5.137906550236121e-06,16.0,11.0,"{'max_depth': 16, 'min_child_weight': 11}",0.7661779220968691,0.8503773745933659,0.7726535575455235,0.5006465449047086,0.2350591719144721,0.6249829142109878,0.228054979978329,121,random search for 1 group,7,,,,
1.4348323345184326,0.02104635310242068,0.002145862579345703,9.460862596771117e-06,17.0,7.0,"{'max_depth': 17, 'min_child_weight': 7}",0.7483519557695222,0.8656492988000657,0.7701186014388365,0.5274894872241846,0.4292747514508012,0.668176818936682,0.1629003886076926,14,random search for 1 group,7,,,,
1.4397315979003906,0.022569471555610145,0.002173757553100586,5.4721213995763757e-05,16.0,6.0,"{'max_depth': 16, 'min_child_weight': 6}",0.7247193235753826,0.8719243341821186,0.7833309820733091,0.5132415052249952,0.2890846694864744,0.6364601629084559,0.2100745886340645,83,random search for 1 group,7,,,,
0.9717848777770997,0.011270571217294485,0.001725912094116211,2.171887260136974e-05,8.0,12.0,"{'max_depth': 8, 'min_child_weight': 12}",0.7315654074505222,0.8395620419946165,0.7560122279240884,0.5111411049031981,0.2334449001797243,0.6143451364904301,0.2192117120053221,166,random search for 1 group,7,,,,
1.0834951400756836,0.0291109882669192,0.0017901897430419925,3.818200410219319e-05,8.0,5.0,"{'max_depth': 8, 'min_child_weight': 5}",0.7472022998629789,0.8712604833306071,0.7661799073511981,0.4961758097523325,0.3457909150369737,0.6453218830668181,0.19390610327871016,66,random search for 1 group,7,,,,
0.7451392650604248,0.0034668705306835704,0.0014882564544677734,0.00017490393462850682,3.0,5.0,"{'max_depth': 3, 'min_child_weight': 5}",0.7797417152912132,0.8757384419181664,0.7725831019188734,0.4959203045524615,0.4844777304531108,0.6816922588267651,0.16058240977133606,1,random search for 1 group,7,,,,
1.1661452293395995,0.025983368441688262,0.0019054889678955078,4.075727779182735e-05,10.0,6.0,"{'max_depth': 10, 'min_child_weight': 6}",0.7353812879053431,0.8742405504123012,0.7845121626811659,0.524885978343434,0.27290903321064564,0.6383858025105781,0.2157980437424512,79,random search for 1 group,7,,,,
0.9305175304412842,0.006800174209247504,0.0016869544982910155,2.2938097728368092e-05,8.0,19.0,"{'max_depth': 8, 'min_child_weight': 19}",0.6900326841063082,0.815597572466664,0.7845698835661159,0.490827092970249,-0.057067926932517825,0.5447918612353639,0.3215809480314283,224,random search for 1 group,7,,,,
1.2930482387542723,0.01945919176091012,0.002166366577148437,0.00016327586672239982,14.0,7.0,"{'max_depth': 14, 'min_child_weight': 7}",0.7465929803023279,0.8582920552887482,0.7714104261167629,0.519642499607879,0.4097366050241917,0.6611349132679821,0.16825927678217714,38,random search for 1 group,7,,,,
0.6100432872772217,0.005004996514337219,0.0013644218444824221,0.0002071680702334716,1.0,13.0,"{'max_depth': 1, 'min_child_weight': 13}",0.7763660812561659,0.8311546572204046,0.6494598755160474,0.4350728470752373,0.4794841606833069,0.6343075243502325,0.15673145926792634,90,random search for 1 group,7,,,,
