mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name,run_number
3.2880822022755942,0.13989419722782728,0.5404473940531412,0.17148327658650683,0.7439954470260023,0.4373205295922842,"{'alpha': 0.7439954470260023, 'lambda': 0.4373205295922842}",0.9263213603626407,0.926286845072367,0.9259868610283374,0.9261983554877817,0.00015021153106514,134,random search for 2 group,1
4.563335577646892,1.1895976567167206,0.9613665739695231,0.24284624485632494,0.8473742672560307,0.034149411084163916,"{'alpha': 0.8473742672560307, 'lambda': 0.034149411084163916}",0.9261602890080306,0.9267815642329552,0.9264355649642763,0.9264591394017541,0.00025418174843089,43,random search for 2 group,1
3.5674129327138266,0.5642126406366568,0.691166877746582,0.2010122631938604,0.8773783220479264,0.4031590651003587,"{'alpha': 0.8773783220479264, 'lambda': 0.4031590651003587}",0.9259762074599047,0.9264479164269771,0.9262054603817435,0.926209861422875,0.0001925995228038483,130,random search for 2 group,1
4.384375015894572,1.206436279040782,1.052487850189209,0.21505058956246872,0.8375013873532385,0.10724078852983199,"{'alpha': 0.8375013873532385, 'lambda': 0.10724078852983199}",0.9260222278469362,0.9260567431372098,0.9265966381720492,0.9262252030520651,0.00026302200488917806,121,random search for 2 group,1
3.3662455081939697,0.18381292752180436,0.5644892056783041,0.16072845449757747,0.9224097922183067,0.6871668907584134,"{'alpha': 0.9224097922183067, 'lambda': 0.6871668907584134}",0.926286845072367,0.9268275846199866,0.9258833139661976,0.926332581219517,0.0003868510594262957,72,random search for 2 group,1
2.9228647549947104,0.5727256599861936,0.5873676935831705,0.1401668609393103,0.9072474669452008,0.6107627778955315,"{'alpha': 0.9072474669452008, 'lambda': 0.6107627778955315}",0.9260912584274834,0.9264364113302193,0.9259293348827042,0.9261523348801356,0.0002114700620380227,156,random search for 2 group,1
2.774599552154541,0.41742139240365184,0.7704075972239176,0.5603082308814589,0.7719199137316819,0.1781720706670441,"{'alpha': 0.7719199137316819, 'lambda': 0.1781720706670441}",0.9258956717825997,0.926206309395062,0.9259868610283374,0.9260296140686664,0.0001303707493064765,210,random search for 2 group,1
5.283678770065308,1.457648687392014,0.9932781060536703,0.4708324417724236,0.08888782779070181,0.20639864814864706,"{'alpha': 0.08888782779070181, 'lambda': 0.20639864814864706}",0.9258036310085368,0.9262293195885778,0.9259063244244509,0.9259797583405218,0.00018137823613739043,230,random search for 2 group,1
4.496210336685181,1.4298272823253477,1.036120335261027,0.34267567512962094,0.8688402899061605,0.8161300856948666,"{'alpha': 0.8688402899061605, 'lambda': 0.8161300856948666}",0.9265054419107664,0.9261027635242413,0.9256762198419182,0.926094808425642,0.0003385752231154827,180,random search for 2 group,1
3.974708318710327,1.3145629449241103,0.6752679347991943,0.27703234162765306,0.835375652141696,0.3433631719823985,"{'alpha': 0.835375652141696, 'lambda': 0.3433631719823985}",0.9251248302998228,0.9267010285556502,0.9261709446943636,0.9259989345166121,0.0006548744721221132,223,random search for 2 group,1
