experiment_name,mean_fit_time,mean_score_time,mean_test_score,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,rank_test_score,run_number,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
random search for 1 group,0.590299129486084,0.005285739898681641,0.642000610172335,,,,7,6,,"{'max_depth': 7, 'min_child_weight': 6}",138,8,0.700784311104035,0.6344014319065386,0.6020944565185362,0.6255508126437883,0.6471720386887767,0.01900163121039401,0.00015588039356781466,0.03287282043456068
random search for 1 group,0.31836514472961425,0.004986190795898437,0.6401440208749472,,,,3,1,,"{'max_depth': 3, 'min_child_weight': 1}",145,8,0.7012539311013478,0.6306592971390881,0.5448137822686638,0.6558332688847841,0.6681598249808514,0.00942444470672426,0.0001830734036105664,0.052807713996668705
random search for 1 group,0.8878504276275635,0.005711507797241211,0.6314537832939452,,,,8,3,,"{'max_depth': 8, 'min_child_weight': 3}",197,8,0.699797748227383,0.610777301655608,0.5971163865046354,0.6102091190144437,0.6393683610676562,0.03558287276818098,0.0002376747161960747,0.03685497946197997
random search for 1 group,0.7280042171478271,0.005608129501342774,0.6323951360470051,,,,7,1,,"{'max_depth': 7, 'min_child_weight': 1}",192,8,0.6550269288219474,0.6362642699012022,0.6161907753337306,0.5978058174177585,0.6566878887603871,0.01118485519358499,0.0003930863272556777,0.022699375959460255
random search for 1 group,0.31710124015808105,0.0049632549285888675,0.6501751530503082,,,,3,8,,"{'max_depth': 3, 'min_child_weight': 8}",49,8,0.708448969663916,0.6360259974933586,0.5520665799531479,0.6834364939650391,0.6708977241760792,0.009484661508847147,0.00013087156969779693,0.05432691814259408
random search for 1 group,0.35370697975158694,0.0050313472747802734,0.6350066618630212,,,,4,1,,"{'max_depth': 4, 'min_child_weight': 1}",176,8,0.6805950419924609,0.6438366011921748,0.5630578210784793,0.6348287465812052,0.6527150984707865,0.008301221115145668,0.00016159201534466058,0.03910632762753599
random search for 1 group,0.3169703483581543,0.004904365539550782,0.6501751530503082,,,,3,8,,"{'max_depth': 3, 'min_child_weight': 8}",49,8,0.708448969663916,0.6360259974933586,0.5520665799531479,0.6834364939650391,0.6708977241760792,0.008689522360377702,7.165969353898087e-05,0.05432691814259408
random search for 1 group,0.3194169521331787,0.005317783355712891,0.6401440208749472,,,,3,1,,"{'max_depth': 3, 'min_child_weight': 1}",145,8,0.7012539311013478,0.6306592971390881,0.5448137822686638,0.6558332688847841,0.6681598249808514,0.009143814044678195,0.0005063419837398836,0.052807713996668705
random search for 1 group,1.2813406467437745,0.005866003036499023,0.6103806375290979,,,,9,2,,"{'max_depth': 9, 'min_child_weight': 2}",234,8,0.658294157668392,0.5869169684175619,0.5928297414389128,0.5690922542798997,0.6447700658407236,0.042674456130774197,5.954670951458229e-05,0.03476103135643643
random search for 1 group,0.46956720352172854,0.005175733566284179,0.6476388847901207,,,,6,7,,"{'max_depth': 6, 'min_child_weight': 7}",80,8,0.699406370757079,0.6378901233182898,0.5893328963335072,0.6548855438281411,0.6566794897135867,0.01161701267657385,9.872781800565999e-05,0.035521108789203504
random search for 1 group,0.4131452560424805,0.0052070140838623045,0.6475159499747634,,,,5,3,,"{'max_depth': 5, 'min_child_weight': 3}",84,8,0.7213059058477109,0.6298917951505261,0.5944498742897433,0.6384366489595725,0.6534955256262637,0.008711964533918865,0.00019322694895958974,0.04168876549264796
random search for 1 group,0.3168665885925293,0.004776763916015625,0.6487577195259971,,,,3,7,,"{'max_depth': 3, 'min_child_weight': 7}",68,8,0.705096536248806,0.6336010437150448,0.5548573243647923,0.6826650969033545,0.667568596397988,0.010186909599084517,0.00011743690898120102,0.052392042586825546
