mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name
0.31349868774414064,0.008946722461048022,0.005214548110961914,0.0004287142784783696,0.25,0.625,0.75,2,5,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.75, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.625}",0.6827456529739657,0.6132955839492631,0.5147586573773006,0.6334107616236692,0.6311669302105464,0.615075517226949,0.05521051088965365,532,grid search
0.31459794044494627,0.006965294526733456,0.005065822601318359,0.00011557332691054158,0.25,0.625,0.75,2,5,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.75, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.75}",0.6623792723991402,0.6229156211327005,0.5297590276044377,0.6356378886437641,0.6201698667443908,0.6141723353048867,0.04477209110934819,559,grid search
0.31496601104736327,0.00982589171612754,0.005164003372192383,0.00014798029493162361,0.25,0.625,0.75,2,5,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.75, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.875}",0.6630911285071434,0.6146323391552748,0.5271546886198479,0.6198145865107749,0.6042906374855679,0.6057966760557217,0.04414534036040912,712,grid search
0.31365604400634767,0.006824000410007908,0.005173683166503906,0.00016113921422776536,0.25,0.625,0.75,2,8,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.75, 'max_depth': 2, 'min_child_weight': 8, 'subsample': 0.625}",0.678892137169367,0.6140127581392778,0.5160286244452801,0.6327396037655915,0.6256412118297898,0.6134628670698612,0.053468921927594996,604,grid search
0.313782262802124,0.0075075438553215594,0.005150938034057617,0.00017981488140042043,0.25,0.625,0.75,2,8,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.75, 'max_depth': 2, 'min_child_weight': 8, 'subsample': 0.75}",0.662427364187441,0.620782222449829,0.5256488739499073,0.6415073635632919,0.6233207637306748,0.6147373175762287,0.046984982959465814,550,grid search
0.31424150466918943,0.0089637339903053,0.00512537956237793,0.00013878063488369048,0.25,0.625,0.75,2,8,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.75, 'max_depth': 2, 'min_child_weight': 8, 'subsample': 0.875}",0.6625982835892411,0.6242180532933228,0.5158150678959099,0.6248252879311682,0.613279443303119,0.6081472272025522,0.049097686273109974,703,grid search
0.4450395107269287,0.011210651235514518,0.005435657501220703,0.00016865821284856708,0.25,0.625,0.75,5,2,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.75, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.625}",0.7032748247501863,0.632845741267983,0.5934997859533546,0.6159288226125097,0.6673630549165717,0.642582445900121,0.038760727528278804,289,grid search
0.4495706081390381,0.01133979964790271,0.005624961853027344,0.00025758910999507703,0.25,0.625,0.75,5,2,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.75, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.75}",0.705672842727913,0.6408268045061754,0.5981491659060383,0.6397545292515114,0.6660274077398101,0.6500861500262896,0.035309863465597,127,grid search
0.4502838134765625,0.009254288714155614,0.005471420288085937,0.00031975397850855845,0.25,0.625,0.75,5,2,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.75, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.875}",0.7083825193200595,0.6476005884846885,0.5785203506243746,0.6433223727810783,0.6471583177822935,0.6449968297984989,0.0411123419800299,226,grid search
0.4301558017730713,0.01148684430610678,0.005349969863891602,0.00013819227874787375,0.25,0.625,0.75,5,5,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.75, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.625}",0.7216194900472843,0.6486857545023088,0.5719370486323038,0.6519909195318909,0.651013362971472,0.649049315137052,0.04738222162087335,172,grid search
