experiment_name,mean_fit_time,mean_score_time,mean_test_score,param_alpha,param_colsample_bytree,param_gamma,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
random search for 1 group,9.163339328765868,0.037122058868408206,0.6584176265269968,,,,,6,8,,"{'max_depth': 6, 'min_child_weight': 8}",3,0.7307993620890598,0.687128981906684,0.6343729411063801,0.6976879195321904,0.5420989280006692,0.17577603204440617,0.001496357354949968,0.06589962064726015
random search for 1 group,6.284001970291138,0.02586193084716797,0.6595148779839983,,,,,4,3,,"{'max_depth': 4, 'min_child_weight': 3}",2,0.7018446455942263,0.6895368109768409,0.6322400958688716,0.7229657093755497,0.5509871281045035,0.09078117531524939,0.0007354481087208851,0.06203437744376187
random search for 1 group,12.835720252990722,0.060650205612182616,0.6326794379172848,,,,,8,3,,"{'max_depth': 8, 'min_child_weight': 3}",25,0.686021774574328,0.6099887193891116,0.6433640337185857,0.6784842530776782,0.5455384088267203,0.10609507696077174,0.0005035088043567889,0.05131485987048139
random search for 2 group,6.110774755477905,0.02681126594543457,0.6635918809218545,0.08150986294752166,,0.28673315302534563,0.07191733714293226,,,,"{'alpha': 0.08150986294752166, 'gamma': 0.28673315302534563, 'lambda': 0.07191733714293226}",1,0.7206934410631793,0.7010841447042762,0.6374803576759678,0.7179124487592674,0.5407890124065815,0.04874092554435028,0.000452321444794911,0.06838031627022928
random search for 2 group,6.084475135803222,0.026475906372070312,0.6635918809218545,0.01655543945363085,,0.024296770276962365,0.013286384544128739,,,,"{'alpha': 0.01655543945363085, 'gamma': 0.024296770276962365, 'lambda': 0.013286384544128739}",1,0.7206934410631793,0.7010841447042762,0.6374803576759678,0.7179124487592674,0.5407890124065815,0.061199748172010314,0.00035781461290521446,0.06838031627022928
random search for 2 group,6.170211458206177,0.02648272514343262,0.6635918809218545,0.01706954877807527,,0.21679195370041304,0.0719368581359701,,,,"{'alpha': 0.01706954877807527, 'gamma': 0.21679195370041304, 'lambda': 0.0719368581359701}",1,0.7206934410631793,0.7010841447042762,0.6374803576759678,0.7179124487592674,0.5407890124065815,0.11888614754975542,0.0003816839331978295,0.06838031627022928
random search for 2 group,6.155893802642822,0.026620244979858397,0.6635918809218545,0.06329709167640228,,0.39759131842386164,0.0063834863219946695,,,,"{'alpha': 0.06329709167640228, 'gamma': 0.39759131842386164, 'lambda': 0.0063834863219946695}",1,0.7206934410631793,0.7010841447042762,0.6374803576759678,0.7179124487592674,0.5407890124065815,0.06775095491140257,0.0006619670892102143,0.06838031627022928
random search for 2 group,6.141957807540893,0.02619643211364746,0.6635918809218545,0.056137580378391894,,0.21024277757358806,0.0975688150712549,,,,"{'alpha': 0.056137580378391894, 'gamma': 0.21024277757358806, 'lambda': 0.0975688150712549}",1,0.7206934410631793,0.7010841447042762,0.6374803576759678,0.7179124487592674,0.5407890124065815,0.08779645686964119,0.00035459781024234084,0.06838031627022928
random search for 2 group,6.145543050765991,0.02616419792175293,0.6635918809218545,0.0390480453654492,,0.03171665702673482,0.017155772262063076,,,,"{'alpha': 0.0390480453654492, 'gamma': 0.03171665702673482, 'lambda': 0.017155772262063076}",1,0.7206934410631793,0.7010841447042762,0.6374803576759678,0.7179124487592674,0.5407890124065815,0.130655360385288,0.00029585152342554604,0.06838031627022928
random search for 2 group,6.147450733184814,0.02627105712890625,0.6635918809218545,0.08002387189829618,,0.24879851505712874,0.033743464509662036,,,,"{'alpha': 0.08002387189829618, 'gamma': 0.24879851505712874, 'lambda': 0.033743464509662036}",1,0.7206934410631793,0.7010841447042762,0.6374803576759678,0.7179124487592674,0.5407890124065815,0.06333051477250409,0.00023033132139281494,0.06838031627022928
random search for 2 group,6.134320974349976,0.026658010482788087,0.6635918809218545,0.0370880865606004,,0.15791126785540488,0.028850857003189623,,,,"{'alpha': 0.0370880865606004, 'gamma': 0.15791126785540488, 'lambda': 0.028850857003189623}",1,0.7206934410631793,0.7010841447042762,0.6374803576759678,0.7179124487592674,0.5407890124065815,0.12082446874101299,0.00033860335197360335,0.06838031627022928
random search for 2 group,6.1421403884887695,0.026459646224975587,0.6635918809218545,0.09416434813125792,,0.061349438083310115,0.09662993130325898,,,,"{'alpha': 0.09416434813125792, 'gamma': 0.061349438083310115, 'lambda': 0.09662993130325898}",1,0.7206934410631793,0.7010841447042762,0.6374803576759678,0.7179124487592674,0.5407890124065815,0.03897108804925457,0.00028798064502723114,0.06838031627022928
random search for 2 group,6.0982523441314695,0.02664628028869629,0.6635918809218545,0.03883801584520204,,0.3309936575531114,0.09327075147639015,,,,"{'alpha': 0.03883801584520204, 'gamma': 0.3309936575531114, 'lambda': 0.09327075147639015}",1,0.7206934410631793,0.7010841447042762,0.6374803576759678,0.7179124487592674,0.5407890124065815,0.1053029608937683,0.0010189289836037485,0.06838031627022928
random search for 2 group,6.138551664352417,0.026168298721313477,0.6635918809218545,0.005235257675089766,,0.25575877450249196,0.058468970432442605,,,,"{'alpha': 0.005235257675089766, 'gamma': 0.25575877450249196, 'lambda': 0.058468970432442605}",1,0.7206934410631793,0.7010841447042762,0.6374803576759678,0.7179124487592674,0.5407890124065815,0.049424985091186924,0.0004088828278390006,0.06838031627022928
random search for 2 group,6.126677322387695,0.02652287483215332,0.6635918809218545,0.06724787121692298,,0.05026595401762601,0.018431499025264066,,,,"{'alpha': 0.06724787121692298, 'gamma': 0.05026595401762601, 'lambda': 0.018431499025264066}",1,0.7206934410631793,0.7010841447042762,0.6374803576759678,0.7179124487592674,0.5407890124065815,0.08726991791813166,0.0004884236517397894,0.06838031627022928
random search for 2 group,6.210551977157593,0.026286506652832033,0.6635918809218545,0.05159160677695188,,0.37320529625539667,0.05081283794691012,,,,"{'alpha': 0.05159160677695188, 'gamma': 0.37320529625539667, 'lambda': 0.05081283794691012}",1,0.7206934410631793,0.7010841447042762,0.6374803576759678,0.7179124487592674,0.5407890124065815,0.05168865061578756,0.0003208404975644821,0.06838031627022928
