mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name,run_number
0.4858259359995524,0.04322263235123372,0.05391303698221842,0.0011562622570392752,0.5851254174863113,0.16628846301947287,"{'alpha': 0.5851254174863113, 'lambda': 0.16628846301947287}",0.7202977412900142,0.6784430734649356,0.5663241024244106,0.6550216390597868,0.06500457962623275,182,random search for 2 group,9
0.4386020501454671,0.06420901488682398,0.05062643686930338,0.003838553469758114,0.35796157903692616,0.7284859642048546,"{'alpha': 0.35796157903692616, 'lambda': 0.7284859642048546}",0.7213878186898881,0.6795764291252677,0.6114309030372973,0.6707983836174843,0.04531682091792023,48,random search for 2 group,9
0.2647833824157715,0.025004000179849727,0.05942455927530924,0.011615722673848843,0.07940945425810697,0.07867326432776212,"{'alpha': 0.07940945425810697, 'lambda': 0.07867326432776212}",0.7176879475341179,0.6807520578613566,0.6194300330882181,0.672623346161231,0.0405233381583359,23,random search for 2 group,9
0.31435171763102215,0.07741055713456753,0.11057329177856445,0.059079810594983115,0.5875925192744742,0.1261386342218872,"{'alpha': 0.5875925192744742, 'lambda': 0.1261386342218872}",0.720278810947564,0.6784077542895981,0.6194414355953402,0.672709333610834,0.04136341431470927,20,random search for 2 group,9
0.3489864667256673,0.05574115055513284,0.15916752815246582,0.032010894311738355,0.10851191386185899,0.4602113326338143,"{'alpha': 0.10851191386185899, 'lambda': 0.4602113326338143}",0.7198234764125457,0.6720363195652808,0.5824424350644146,0.658100743680747,0.05694463882813099,121,random search for 2 group,9
0.3800237973531087,0.027905766120836083,0.1818994681040446,0.024722288236867857,0.6890613590202317,0.48142690880670047,"{'alpha': 0.6890613590202317, 'lambda': 0.48142690880670047}",0.7198313392249183,0.6720407690085305,0.5824511301497777,0.6581077461277421,0.05694399181845125,117,random search for 2 group,9
0.4094545841217041,0.05107719565234078,0.150713841120402,0.029198096149938225,0.7231916459852104,0.5159618235912605,"{'alpha': 0.7231916459852104, 'lambda': 0.5159618235912605}",0.717764894650695,0.6719714939515626,0.5802905613290671,0.6566756499771081,0.057156336555828205,140,random search for 2 group,9
0.4403340021769206,0.10932764662197138,0.19729105631510416,0.0544842010750632,0.920693135855543,0.12415669273736796,"{'alpha': 0.920693135855543, 'lambda': 0.12415669273736796}",0.7202930866438682,0.6784074240433677,0.619441043818746,0.672713851501994,0.041369040047786,19,random search for 2 group,9
0.301192045211792,0.029301709004192343,0.05141862233479818,0.005634309611174586,0.6866505501625694,0.7862327573067145,"{'alpha': 0.6866505501625694, 'lambda': 0.7862327573067145}",0.7098141004958372,0.679937860445101,0.6114496870908953,0.6670672160106111,0.04117547467642904,99,random search for 2 group,9
0.3076261679331462,0.04469938625688556,0.052959283192952476,0.0034505152580599544,0.3246222306518891,0.45736832131355465,"{'alpha': 0.3246222306518891, 'lambda': 0.45736832131355465}",0.719822512073179,0.6721493341239679,0.57191257000481,0.6546281387339856,0.06164187946835887,205,random search for 2 group,9
0.4250095685323079,0.11207326320977512,0.05538010597229004,0.0024628873330351793,0.9011332053802088,0.64496461123641,"{'alpha': 0.9011332053802088, 'lambda': 0.64496461123641}",0.7155457358583419,0.6721872835108196,0.5704984010670033,0.6527438068120549,0.06079045386746846,227,random search for 2 group,9
0.5033606688181559,0.05325497668665722,0.05990227063496908,0.01028705238707911,0.04896877437044178,0.9234693073122645,"{'alpha': 0.04896877437044178, 'lambda': 0.9234693073122645}",0.7131704347389516,0.6800336457209613,0.6114935179563914,0.6682325328054347,0.04233988309805679,71,random search for 2 group,9
0.6776274045308431,0.23872666461232836,0.11117029190063477,0.04110291272362577,0.5648915049428407,0.2555984818136344,"{'alpha': 0.5648915049428407, 'lambda': 0.2555984818136344}",0.7214751597748572,0.6783526938271474,0.5663565942217319,0.6553948159412455,0.06537451319172631,155,random search for 2 group,9
0.7319650650024414,0.10872596896390653,0.1802679697672526,0.015573188278357042,0.9922055061775013,0.16566047481069623,"{'alpha': 0.9922055061775013, 'lambda': 0.16566047481069623}",0.7202974983113912,0.6784153122916083,0.5663239118888258,0.6550122408306085,0.06500125201006161,184,random search for 2 group,9
